state,flood_affected_people,snapshot_date,flood_displaced_people
Central Equatoria,10000.0,2021-12-13,
Central Equatoria,0.0,2022-10-21,
Central Equatoria,21823.0,2024-12-20,
Central Equatoria,24505.0,2025-11-30,8505.0
Eastern Equatoria,2537.0,2022-10-21,
Eastern Equatoria,8400.0,2022-11-30,
Eastern Equatoria,18178.0,2024-12-20,
Eastern Equatoria,0.0,2025-11-30,0.0
Jonglei,322759.0,2021-12-13,
Jonglei,57827.0,2022-10-21,
Jonglei,86381.0,2022-11-30,
Jonglei,433323.0,2024-12-20,
Jonglei,631789.0,2025-11-30,211855.0
Lakes,61398.0,2021-12-13,
Lakes,68988.0,2022-10-21,
Lakes,93193.0,2022-11-30,
Lakes,145854.0,2024-12-20,
Lakes,298085.0,2025-11-30,4065.0
Northern Bahr el Ghazal,64800.0,2021-12-13,
Northern Bahr el Ghazal,251763.0,2022-10-21,
Northern Bahr el Ghazal,251763.0,2022-11-30,
Northern Bahr el Ghazal,286308.0,2024-12-20,
Northern Bahr el Ghazal,16820.0,2025-11-30,16820.0
Unity,220382.0,2021-12-13,
Unity,123966.0,2022-10-21,
Unity,168128.0,2022-11-30,
Unity,199024.0,2024-12-20,
Unity,256102.0,2025-11-30,98486.0
Upper Nile,141348.0,2021-12-13,
Upper Nile,91127.0,2022-10-21,
Upper Nile,153436.0,2022-11-30,
Upper Nile,99549.0,2024-12-20,
Upper Nile,96205.0,2025-11-30,18156.0
Warrap,23000.0,2021-12-13,
Warrap,208133.0,2022-10-21,
Warrap,208133.0,2022-11-30,
Warrap,158646.0,2024-12-20,
Warrap,10578.0,2025-11-30,1953.0
Western Bahr el Ghazal,10000.0,2021-12-13,
Western Bahr el Ghazal,8767.0,2022-10-21,
Western Bahr el Ghazal,8767.0,2022-11-30,
Western Bahr el Ghazal,26850.0,2024-12-20,
Western Bahr el Ghazal,0.0,2025-11-30,0.0
Western Equatoria,111403.0,2022-10-21,
Western Equatoria,111403.0,2022-11-30,
Western Equatoria,2655.0,2024-12-20,
Western Equatoria,15780.0,2025-11-30,15780.0
